Row Labels,MERCHANT_ID
Abc,201
"BOOKS, PERIODICALS AND NEWSPAPERS",202
CHARITABLE AND SOCIAL SERVICE ORGANIZATIONS,203
AUTOMOTIVE TIRE STORES,204
CATALOG MERCHANTS,205
COMBINATION CATALOG AND RETAIL MERCHANT,206
"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED",207
"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",208
DIRCT MARKETING/DIRCT MARKETERS--NOT ELSEWHERE CLASSIFIED,209
"DURABLE GOODS, NOT ELSEWHERE CLASSIFIED",210
ELECTRICAL PARTS AND EQUIPMENT,211
"GROCERY STORES,AND SUPERMARKETS",212
HARDWARE STORES,213
"HEATING,PLUMBING,AND AIR CONDITIONING CONTRACTORS",214
INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,215
NON-DURABLE GOODS NOT ELSEWHERE CLASSIFIED,216
PLUMBING AND HEATING EQUIPMENT AND SUPPLIES,217
POSTAGE STAMPS,218
BOOK STORES,219
BUSINESS SERVICES NOT ELSEWHERE CLASSIFIED,220
COMMERCIAL FURNITURE,221
COMPUTER NETWORK/INFORMATION SERVICES,222
COMPUTER SOFTWARE STORES,223
CONTINUITY/SUBSCRIPTION MERCHANTS,224
DELTA,225
EMPLOYMENT AGENCIES AND TEMPORARY HELP SERVICES,226
GOVERNMENT SERVICES--NOT ELSEWHERE CLASSIFIED,227
HOLIDAY INNS,228
MISCELLANEOUS AND SPECIALTY RETAIL STORES,229
NEWS DEALERS AND NEWSSTANDS,230
"OFFICE, PHOTOGRAPHIC, PHOTOCOPY, AND MICROFILM EQUIPMENT",231
SCHOOLS AND EDUCATIONAL SERVICES NOT ELSEWHERE CLASSIFIED,232
TOLLS AND BRIDGE FEES,233
UNITED AIRLINES,234
CAMERA AND PHOTOGRAPHIC SUPPLY STORES,235
CHEMICALS AND ALLIED PRODUCTS NOT ELSEWHERE CLASSIFIED,236
"COMP PROG,DATA PROCESSING,AND INTEGRATED SYS DES IGN SVCS",237
DENTAL/LABORATORY/MEDICAL/OPHTHALMIC HOSP EQIP AND SUP.,238
ELECTRONICS STORES,239
HOME SUPPLY WAREHOUSE STORES,240
ADVERTISING SERVICES,241
"COLLEGES,UNIVERSITIES,PROFESSIONAL SCHLS AND JR COLLEGES",242
DISCOUNT STORES,243
FLORISTS,244
