name,Row Labels,Transactions
AbbottM,AUTOMOTIVE TIRE STORES,0.023809523809523808
AbbottM,CATALOG MERCHANTS,0.023809523809523808
AbbottM,COMBINATION CATALOG AND RETAIL MERCHANT,0.023809523809523808
AbbottM,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED",0.09523809523809523
AbbottM,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",0.023809523809523808
AbbottM,DIRCT MARKETING/DIRCT MARKETERS--NOT ELSEWHERE CLASSIFIED,0.023809523809523808
AbbottM,"DURABLE GOODS, NOT ELSEWHERE CLASSIFIED",0.023809523809523808
AbbottM,ELECTRICAL PARTS AND EQUIPMENT,0.023809523809523808
AbbottM,"GROCERY STORES,AND SUPERMARKETS",0.47619047619047616
AbbottM,HARDWARE STORES,0.023809523809523808
AbbottM,"HEATING,PLUMBING,AND AIR CONDITIONING CONTRACTORS",0.023809523809523808
AbbottM,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,0.11904761904761904
AbbottM,NON-DURABLE GOODS NOT ELSEWHERE CLASSIFIED,0.047619047619047616
AbbottM,PLUMBING AND HEATING EQUIPMENT AND SUPPLIES,0.023809523809523808
AbbottM,POSTAGE STAMPS,0.023809523809523808
AbbottT,BOOK STORES,0.017699115044247787
AbbottT,BUSINESS SERVICES NOT ELSEWHERE CLASSIFIED,0.017699115044247787
AbbottT,CHARITABLE AND SOCIAL SERVICE ORGANIZATIONS,0.017699115044247787
AbbottT,COMMERCIAL FURNITURE,0.008849557522123894
AbbottT,COMPUTER NETWORK/INFORMATION SERVICES,0.008849557522123894
AbbottT,COMPUTER SOFTWARE STORES,0.008849557522123894
AbbottT,CONTINUITY/SUBSCRIPTION MERCHANTS,0.008849557522123894
AbbottT,DELTA,0.008849557522123894
AbbottT,EMPLOYMENT AGENCIES AND TEMPORARY HELP SERVICES,0.008849557522123894
AbbottT,GOVERNMENT SERVICES--NOT ELSEWHERE CLASSIFIED,0.18584070796460178
AbbottT,HOLIDAY INNS,0.02654867256637168
AbbottT,MISCELLANEOUS AND SPECIALTY RETAIL STORES,0.3805309734513274
AbbottT,NEWS DEALERS AND NEWSSTANDS,0.008849557522123894
AbbottT,"OFFICE, PHOTOGRAPHIC, PHOTOCOPY, AND MICROFILM EQUIPMENT",0.20353982300884957
AbbottT,SCHOOLS AND EDUCATIONAL SERVICES NOT ELSEWHERE CLASSIFIED,0.008849557522123894
AbbottT,TOLLS AND BRIDGE FEES,0.04424778761061947
AbbottT,UNITED AIRLINES,0.035398230088495575
AbdolvandR,BOOK STORES,0.12
AbdolvandR,BUSINESS SERVICES NOT ELSEWHERE CLASSIFIED,0.04
AbdolvandR,CAMERA AND PHOTOGRAPHIC SUPPLY STORES,0.08
AbdolvandR,CHEMICALS AND ALLIED PRODUCTS NOT ELSEWHERE CLASSIFIED,0.12
AbdolvandR,"COMP PROG,DATA PROCESSING,AND INTEGRATED SYS DES IGN SVCS",0.04
AbdolvandR,DENTAL/LABORATORY/MEDICAL/OPHTHALMIC HOSP EQIP AND SUP.,0.08
AbdolvandR,DIRCT MARKETING/DIRCT MARKETERS--NOT ELSEWHERE CLASSIFIED,0.16
AbdolvandR,ELECTRICAL PARTS AND EQUIPMENT,0.04
AbdolvandR,ELECTRONICS STORES,0.04
AbdolvandR,HOME SUPPLY WAREHOUSE STORES,0.08
AbdolvandR,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,0.08
AbdolvandR,PLUMBING AND HEATING EQUIPMENT AND SUPPLIES,0.04
AbdolvandR,TOLLS AND BRIDGE FEES,0.08
AbernathyM,ADVERTISING SERVICES,0.10204081632653061
