Row Labels,ZurendaJ
Abc,
"ACCOUNTING,AUDITING AND BOOKKEEPING SERVICES",
ADVANTAGE RENT A CAR,
ADVERTISING SERVICES,
AER LINGUS,
AEROLINEAS ARGENTINAS,
AEROMEXICO,
AGRICULTURAL COOPERATIVES,4.0
AIR BERLIN,
AIR CANADA,
AIR CHINA,
AIR CONDITIONING AND REFRIGERATION REPAIR SHOPS,
AIR FRANCE,
AIR INDIA,
AIR NEW ZEALAND LTD. INTERNATIONAL,
AIRLINES AND AIR CARRIERS,
"AIRPORTS,FLYING FIELDS,AND AIRPORT TERMINALS",
AIRTRAN AIRWAYS,
ALAMO RENT-A-CAR,
ALASKA AIRLINES INC.,
ALITALIA,
ALOFT HOTELS,
AMBULANCE SERVICES,
AMERICAN AIRLINES,
AMERICAS BEST VALUE INN,
AMERICINN,
"AMUSEMENT PRKS,CIRCUSES,CARNIVLS,AND FORTUNE TELLERS",
ANTIQUE SHOPS,
"AQUARIUMS,SEAQUARIUMS AND DOLPHINARIUMS",
"ARCHITECTURAL,ENGINEERING,AND SURVEYING SERVICES",
ARIA,
ARIZONA BILTMORE,
ART DEALERS AND GALLERIES,
ARTIST SUPPLY AND CRAFT STORES,
ASIANA AIRLINES,
AUTOMATED FUEL DISPENSER,
AUTOMOBILE ASSOCIATIONS,
AUTOMOBILE RENTAL AGENCY,
AUTOMOTIVE PAINT SHOPS,
AUTOMOTIVE PARTS AND ACCESSORIES STORES,
AUTOMOTIVE REPAIR SHOPS (NON-DEALER),
AUTOMOTIVE TIRE STORES,
AUTOMOTIVE TOP AND BODY SHOPS,
AVIANCA,
AVIS RENT-A-CAR,
BAKERIES,
BALLY'S HOTEL AND CASINO,
"BANDS,ORCHESTRAS,ENTERTAINERS",
BEAU RIVAGE HOTEL AND CASINO,
BEAUTY AND BARBER SHOPS,
BEST WESTERN,
BICYCLE SHOPS-SALES AND SERVICE,
BOAT DEALERS,
BOAT RENTALS AND LEASING,
BOOK STORES,
"BOOKS, PERIODICALS AND NEWSPAPERS",
BOWLING ALLEYS,
BRITISH AIRWAYS,
BROADMOOR HOTEL,
BUDGET RENT-A-CAR,
"BUS LINES,CHARTERS,TOUR BUSES",
BUSINESS AND SECRETARIAL SCHOOLS,
BUSINESS SERVICES NOT ELSEWHERE CLASSIFIED,
BUYING AND SHOPPING SERVICES AND CLUBS,
"CABLE, SATELLITE, AND OTHER PAY TELEVISION AND RADIO SERVICES",
CAESAR'S HOTEL AND CASINO,
CAMERA AND PHOTOGRAPHIC SUPPLY STORES,
"CAMPER,RECREATIONAL AND UTILITY TRAILER DEALERS",
CANDLEWOOD SUITES,
"CANDY,NUT, AND CONFECTIONERY STORES",
CAR AND TRUCK DEALERS (NEW AND USED),
CAR AND TRUCK DEALERS (USED ONLY),
CAR WASHES,
CARIBBEAN AIRLINES,
CARPENTRY,
CARPET AND UPHOLSTERY CLEANING,
CATALOG MERCHANTS,
CATERERS,
CATHAY PACIFIC,
CHARITABLE AND SOCIAL SERVICE ORGANIZATIONS,
CHATEAU ELAN WINERY AND RESORT,
CHEMICALS AND ALLIED PRODUCTS NOT ELSEWHERE CLASSIFIED,
CHILD CARE SERVICES,
CHILDREN'S AND INFANT'S WEAR STORES,
CHINA EASTERN AIRLINES,
CHIROPRACTORS,
CIGAR STORES AND STANDS,
CIRCUS CIRCUS HOTEL AND CASINO,
"CIVIC,SOCIAL AND FRATERNAL ASSOCIATIONS",
